String,new_string
what is tmz stand for,"[{'generated_text': 'how many miles is the historic `` studio zone "" ?'}]"
who was the killer in scream 3,[{'generated_text': 'how did the writers of Scream 3 feel about the film ?'}]
when is jla 1 scheduled for release,[{'generated_text': 'when did the Justice League come out ?'}]
what is colonial americans day in usa,[{'generated_text': 'what was the death rate of the first immigrants in the colony ?'}]
who is anderson cooper 's mom ?,[{'generated_text': 'who is the mother of Anderson Cooper ?'}]
what is the significance of Greenwich England,[{'generated_text': 'what meridian runs along the Strait of Anián ( Bering Strait )'}]
what is ROB from mario,[{'generated_text': 'what was the original purpose in making the game ?'}]
where is mint mark on liberty standing half,[{'generated_text': 'who designed the Walking Liberty half dollar ?'}]
what is the width of a 1995 toyota 4 runner,[{'generated_text': 'why was the Toyota 4Runner made in the world from 1984 to present ?'}]
who was the first one to invent medicine,[{'generated_text': 'what is the germ theory of disease mentioned in the text ?'}]
what is the half life of potassium 40,[{'generated_text': 'what is the function of all living cells ?'}]
what is singapore 's currency,[{'generated_text': 'what is the official currency of the us ?'}]
what is the coleman report for white flight ?,[{'generated_text': 'how many times has he been elected president of the society ?'}]
What is the source of a superhero 's powers ?,[{'generated_text': 'what is a female superhero ?'}]
who is sam 's father on one live to live,[{'generated_text': 'what did one life to live do ?'}]
what is the plot of the shawshank redemption ?,[{'generated_text': 'who wrote the shawshank Redemption ?'}]
what is an information technology manager,[{'generated_text': 'what is the discipline ofIT management ?'}]
what is the scientific name of a cardinal bird,[{'generated_text': 'what is special about the red Cardinal ?'}]
what is topsoil used for,[{'generated_text': 'what is the highest concentration of organic matter and microorganisms in the soil ?'}]
when was sechs Kleine Klavierstucke by arnold schoenberg written,[{'generated_text': 'what is the similarity between the notes ?'}]
when is the feast of St. Rita,[{'generated_text': 'when wasita born ?'}]
what is the population of north america,[{'generated_text': 'what was the first people to live in North America ?'}]
where is j.cole from,[{'generated_text': 'what did he win at the 54th Grammy Awards ?'}]
what is ratchet from ratchet and clank,[{'generated_text': 'what is the future ofRatchet & Clank ?'}]
what is in a will,[{'generated_text': 'what will a will do after the death of the testator ?'}]
where is solar energy present\,[{'generated_text': 'what is the disadvantage of the Gemasolar solar plant ?'}]
where is thomas more buried,[{'generated_text': 'who was the early martyrs of the schism that separated the Church of England from Rome'}]
what was captain nemo 's nationality ?,[{'generated_text': 'why is the captain wracked by remorse ?'}]
where is modem on WAN radio internet ?,[{'generated_text': 'what is the most suitable title for the text ?'}]
when was the Declaration of Independence Signed ?,[{'generated_text': 'what is the subject of much scholarly inquiry ?'}]
What is hydrogen in,[{'generated_text': 'how many ways are mentioned for exchanging protons between soluble molecules ?'}]
where was the movie unstoppable directed,"[{'generated_text': ""what 's the relationship between the film and the score of the first film ?""}]"
what is bracketing in photography,[{'generated_text': 'what is the best way to take a bracketed shot ?'}]
what is the difference between inside glazed outside glaze,[{'generated_text': 'how many kinds of insulating glass units are used in the same factory ?'}]
what is selenium and how used,[{'generated_text': 'how many uses are mentioned for selenium today ?'}]
who were the gop presidential hopefuls in 2006,[{'generated_text': 'how did the election go on in 2008 ?'}]
what is prince of monaco last name,[{'generated_text': 'what is the Sovereign Prince or Princess of Monaco ?'}]
What is the disk defragmenter tool,[{'generated_text': 'what is the most suitable title for the text ?'}]
what is level of agreement mean,[{'generated_text': 'what is a service agreement ?'}]
what is rascal flatts song why about,"[{'generated_text': 'when did the song "" why "" come out ?'}]"
who is a utilization manager,[{'generated_text': 'what is the difference between utilization management and demand management ?'}]
where was the outsiders book wrote at,[{'generated_text': 'what was the age ofinton when the book was published ?'}]
what is the salary for a representative,[{'generated_text': 'how many people are there in the text ?'}]
when was supply chain management developed,[{'generated_text': 'what is a supply chain ?'}]
when was purple haze by jimi hendrix made ?,"[{'generated_text': 'why did Purple Haze become one of the "" archetypical psychedelic drug songs of the'}]"
what is human skin made of,[{'generated_text': 'what is the first line of defense from external factors ?'}]
Who was John Scott regarding the Bible,[{'generated_text': 'what kind of person is the writer ?'}]
who is the actor that plays harry potter,[{'generated_text': 'who played the role of Charity in the film ?'}]
what is the average time it takes to go through aa 12 step program,[{'generated_text': 'what is the foundation of other twelve-step programs ?'}]
what is an incompetent witness,[{'generated_text': 'what are the rules for impeachment in the us ?'}]
who are the current minority leaders in the house of representatives,[{'generated_text': 'who is the speaker of the u.s. House of Representatives ?'}]
what was the Germans ' last offensive on the western Front during World war 2,[{'generated_text': 'what was the result of the war on the Eastern Front ?'}]
who is lance on suite life of zack and cody,[{'generated_text': 'why did some of the characters have no last name ?'}]
What is the full name of the first lady and the vp wife,[{'generated_text': 'who is the hostess of the White House ?'}]
what is the mortality rate of sepsis,[{'generated_text': 'when can multiple organ dysfunction syndrome cause death ?'}]
where is kos from ?,[{'generated_text': 'which album was the most successful ?'}]
what is Uniform Commercial Code Article 4A,[{'generated_text': 'what was saved and published as a 10-volume set ?'}]
what is pitch in climbing,[{'generated_text': 'how many stops are there in a climbing route ?'}]
what is the defensive line in football called,"[{'generated_text': 'when a player takes on the field is called their position ,'}]"
what is tylenol 3 on schedule of drugs,[{'generated_text': 'what was the Controlled Substances act ?'}]
what is the address of mother 's park & ride in wayne nj,[{'generated_text': 'how many parking places does the proposal have ?'}]
what is the @ sign called ?,[{'generated_text': 'what is the mark ?'}]
who is the book the catcher in the rye by ?,[{'generated_text': 'how many languages has the catcher in the Rye been translated into ?'}]
what is the deepest muscle in your body,[{'generated_text': 'how many examples are given by the writer to show the different muscle types ?'}]
who are the girls from the bad girls club ?,[{'generated_text': 'how many seasons has the show been aired so far ?'}]
who is iowa 's state senator ?,[{'generated_text': 'how many seats are there in the Iowa Senate ?'}]
what is base operations & maintenance,[{'generated_text': 'what kind of operation is a backshop operation ?'}]
what is prince williams last name,[{'generated_text': 'when did prince William take Kiswahili studies ?'}]
what is soulja boy 's latest song,[{'generated_text': 'how many studio albums hasWay released ?'}]
What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain ?,[{'generated_text': 'what is the function of the electron transport chain in the mitochondrion ?'}]
what is in ultram,[{'generated_text': 'what is the function of the μ-opioid receptor agonist ?'}]
what was bernie madoff selling,[{'generated_text': 'what was the total amount of losses in the scheme ?'}]
when is administrative pro day,[{'generated_text': 'when is the first day in spring in the usa ?'}]
where was tycho brahe when he discovered mars,[{'generated_text': 'how many manufactories were there on the island according to the text ?'}]
WHERE IS GOCHEOK DONG BRANCH,[{'generated_text': 'how many hectares is the restricted zone used as a greenbelt ?'}]
who is inventor of the radio,[{'generated_text': 'who first sent an audio signal by means of electromagnetic waves ?'}]
what is scurvy disease,[{'generated_text': 'what is scurvy ?'}]
what is iron made of,[{'generated_text': 'which is the correct proportion of the carbon content of iron ?'}]
what is commercial health insurance - Blue Cross Blue Shield,[{'generated_text': 'what is the text about ?'}]
what is the ph of potato chips ?,[{'generated_text': 'what is the percentage of the global potato chips market in 2005 ?'}]
what was henry clay 's political party,[{'generated_text': 'how many terms did he serve in the u.s.a. ?'}]
who is bj 's wholesale club,"[{'generated_text': ""which company is ranked # 232 on the 2010 listing of america 's 500 largest public""}]"
who is hawaii 's football rival,[{'generated_text': 'where does this text probably come from ?'}]
